"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://zibdigital.com.au/","1","The Leading Digital Marketing Agency in Australia","49","","0","Indexable",""
"https://zibdigital.com.au/digital-marketing-agency-brisbane/","1","Leading Digital Marketing in Brisbane","37","","0","Indexable",""
"https://zibdigital.com.au/seo-adelaide/","1","SEO Adelaide","12","","0","Indexable",""
"https://zibdigital.com.au/seo-canberra/","1","Zib Digital – The Best SEO Canberra Services Provider","53","","0","Indexable",""
"https://zibdigital.com.au/social-media-marketing-agency-melbourne/","1","Social media marketing agency Melbourne","39","","0","Indexable",""
"https://zibdigital.com.au/social-media-marketing-agency-adelaide/","1","Social Media Marketing Adelaide","31","","0","Indexable",""
"https://zibdigital.com.au/social-media-marketing-agency-sydney/","1","Social Media Agency Sydney","26","","0","Indexable",""
"https://zibdigital.com.au/casestudy/liberty-financial/","2","","0","Liberty Financial Digital Marketing Case Study","46","Indexable",""
"https://zibdigital.com.au/meet-the-team/","1","What truly sets us apart is our people","38","","0","Indexable",""
"https://zibdigital.com.au/web-graphic-design-adelaide/","1","Intelligent web graphic design","30","","0","Indexable",""
"https://zibdigital.com.au/digital-marketing-agency-melbourne/","1","Melbourne’s Trusted Digital Marketing Agency","44","","0","Indexable",""
"https://zibdigital.com.au/google-ads-management-agency-melbourne/","1","Google Ads Agency Melbourne","27","","0","Indexable",""
"https://zibdigital.com.au/seo-melbourne/","1","Explore Our SEO Services in Melbourne","37","","0","Indexable",""
"https://zibdigital.com.au/get-in-touch/","1","Let’s get you a quote","21","","0","Indexable",""
"https://zibdigital.com.au/social-media-marketing-agency-canberra/","1","Social media","12","","0","Indexable",""
"https://zibdigital.com.au/social-media-marketing-agency-gold-coast/","1","Reach customers with social media Gold Coast","44","","0","Indexable",""
"https://zibdigital.com.au/digital-marketing-adelaide/","1","Leading Digital Marketing in Adelaide","37","","0","Indexable",""
"https://zibdigital.com.au/zib-partner-opportunity/","1","Escape Your Limits","18","","0","Non-Indexable","noindex"
"https://zibdigital.com.au/privacy-policy/","0","","0","","0","Non-Indexable","noindex"
"https://zibdigital.com.au/digital-marketing-agency-sydney/","1","Digital Marketing Company Sydney businesses trust","49","","0","Indexable",""
"https://zibdigital.com.au/case-studies/","1","Real clients. Real results. No fluff.","37","","0","Indexable",""
"https://zibdigital.com.au/google-ads/","1","Show up and drive sales with Google Ads","39","","0","Indexable",""
"https://zibdigital.com.au/digital-marketing-agency-gold-coast/","1","Digital Marketing Gold Coast","28","","0","Indexable",""
"https://zibdigital.com.au/casestudy/port-melbourne-containers/","2","","0","Port Melbourne Containers Digital Marketing Case Study","54","Indexable",""
"https://zibdigital.com.au/social-media-marketing-agency-brisbane/","1","Social Media Marketing Brisbane","31","","0","Indexable",""
"https://zibdigital.com.au/blog/","1","They say a little knowledge is a dangerous thing","48","","0","Indexable",""
"https://zibdigital.com.au/digital-marketing-geelong/","1","Digital marketing agency","24","","0","Indexable",""
"https://zibdigital.com.au/contact-zibdigital/","1","Let’s have a chat","17","","0","Indexable",""
"https://zibdigital.com.au/casestudy/procut/","2","","0","Pro Cut Tree Services Digital Marketing Case Study","50","Indexable",""
