"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://zibdigital.com.au/","1","Digital Marketing Agency Australia","34","307","Indexable",""
"https://zibdigital.com.au/blog/","1","Blog - Zib Digital - Australia's Leading Digital Marketing Agency","65","557","Indexable",""
"https://zibdigital.com.au/case-studies/","1","Case Studies - Zib Digital - Australia's Leading Digital Marketing Agency","73","635","Indexable",""
"https://zibdigital.com.au/casestudy-category/digital-marketing/","1","Digital marketing Archives - Zib Digital - Australia's Leading Digital Marketing Agency","87","753","Non-Indexable","noindex"
"https://zibdigital.com.au/casestudy-category/seo-portfolio/","1","SEO Archives - Zib Digital - Australia's Leading Digital Marketing Agency","73","637","Non-Indexable","noindex"
"https://zibdigital.com.au/casestudy-category/social-media/","1","Social media Archives - Zib Digital - Australia's Leading Digital Marketing Agency","82","715","Non-Indexable","noindex"
"https://zibdigital.com.au/casestudy-category/web-design/","1","Web design Archives - Zib Digital - Australia's Leading Digital Marketing Agency","80","704","Non-Indexable","noindex"
"https://zibdigital.com.au/casestudy/amazing-graze/","1","Amazing Graze Flowers Gains 600% Sales Growth | Zib Case Study","62","593","Indexable",""
"https://zibdigital.com.au/casestudy/assured-roofing/","1","Assured Roofing: 410% Organic Traffic Growth | Zib Case Study","61","560","Indexable",""
"https://zibdigital.com.au/casestudy/liberty-financial/","1","Liberty Financial: 80% Increase in Paid Leads | Zib Case Study","62","547","Indexable",""
"https://zibdigital.com.au/casestudy/ncc/","1","National Crime Check: 1200% Revenue Growth | Zib Case Study","59","563","Indexable",""
"https://zibdigital.com.au/casestudy/port-melbourne-containers/","1","Port Melbourne Containers hit 430% Inc Leads | Zib Digital Case Study","69","621","Indexable",""
"https://zibdigital.com.au/casestudy/procut/","1","Pro Cut Tree Services: 540% Website Traffic Growth | Zib Case Study","67","612","Indexable",""
"https://zibdigital.com.au/casestudy/puma/","1","PUMA: 20x Social Advertising ROAS | Zib Case Study","50","467","Indexable",""
"https://zibdigital.com.au/casestudy/the-fruit-box-group/","1","The Fruit Box Group: 250% Organic Traffic Growth | Zib Case Study","65","591","Indexable",""
"https://zibdigital.com.au/casestudy/twelve-board-store/","1","Twelve Board Store: 40x Advertising ROAS | Zib Case Study","57","526","Indexable",""
"https://zibdigital.com.au/casestudy/wicked-sista/","1","Wicked Sista: 2x eCommerce Transactions | Zib Case Study","56","530","Indexable",""
"https://zibdigital.com.au/category/digital-marketing/","1","Digital Marketing Archives - Zib Digital - Australia's Leading Digital Marketing Agency","87","752","Non-Indexable","noindex"
"https://zibdigital.com.au/category/paid-advertising/","1","Paid advertising Archives - Zib Digital - Australia's Leading Digital Marketing Agency","86","744","Non-Indexable","noindex"
"https://zibdigital.com.au/category/seo/","1","SEO Archives - Zib Digital - Australia's Leading Digital Marketing Agency","73","637","Non-Indexable","noindex"
"https://zibdigital.com.au/category/social-media/","1","Social media Archives - Zib Digital - Australia's Leading Digital Marketing Agency","82","715","Non-Indexable","noindex"
"https://zibdigital.com.au/contact-zibdigital/","1","Contact Zib Digital for SEO, Adwords & Social Media Services","60","541","Indexable",""
"https://zibdigital.com.au/corrine-chalmers/","1","Corrine Chalmers - Zib Digital - Australia's Leading Digital Marketing Agency","77","674","Indexable",""
"https://zibdigital.com.au/daniel-harris/","1","Daniel Harris - Zib Digital - Australia's Leading Digital Marketing Agency","74","633","Indexable",""
"https://zibdigital.com.au/digital-marketing-adelaide/","1","Digital Marketing Agency Adelaide","33","305","Indexable",""
"https://zibdigital.com.au/digital-marketing-agency-brisbane/","1","Digital Marketing Agency in Brisbane","36","326","Indexable",""
"https://zibdigital.com.au/digital-marketing-agency-canberra/","1","Digital Marketing Canberra | Full Service Digital Agency Canberra","65","576","Indexable",""
